dataset,method,role,seed,budget_detail,valid_domains,expected_domains,complete,missing_or_invalid_domains,mean_mAP50_percent,mean_delta_vs_source_pp
RSAR,B_REG,ema,43,common_1detector_epoch,8,8,True,,34.95480194687843,0.5624158307909966
RSAR,B_REG,ema,44,common_1detector_epoch,8,8,True,,35.366987623274326,0.9746015071868896
RSAR,C,ema,42,common_1detector_epoch,8,8,True,,35.775426402688026,1.3830402866005898
RSAR,C,ema,43,common_1detector_epoch,8,8,True,,34.936835430562496,0.5444493144750595
RSAR,C,ema,44,common_1detector_epoch,8,8,True,,35.6787234544754,1.2863373383879662
RSAR,C,student,42,common_1detector_epoch,8,8,True,,23.72490605339408,-10.667480062693357
RSAR,C,student,43,common_1detector_epoch,8,8,True,,23.250379599630833,-11.142006516456604
RSAR,C,student,44,common_1detector_epoch,8,8,True,,23.194549418985844,-11.197836697101593
RSAR,D,ema,42,common_1detector_epoch,8,8,True,,33.207327499985695,-1.1850586161017418
RSAR,D,ema,43,common_1detector_epoch,8,8,True,,32.716187834739685,-1.6761982813477516
RSAR,D,ema,44,common_1detector_epoch,8,8,True,,33.41266196221113,-0.9797241538763046
RSAR,D,student,42,common_1detector_epoch,8,8,True,,17.466567875817418,-16.92581824027002
RSAR,D,student,43,common_1detector_epoch,8,8,True,,17.98063972964883,-16.411746386438608
RSAR,D,student,44,common_1detector_epoch,8,8,True,,23.000089172273874,-11.392296943813562
RSAR,E,ema,42,common_1detector_epoch,8,8,True,,35.60476675629616,1.2123806402087212
RSAR,E,ema,43,common_1detector_epoch,8,8,True,,35.38718298077583,0.9947968646883965
RSAR,E,ema,44,common_1detector_epoch,8,8,True,,35.321956127882004,0.9295700117945671
RSAR,E,student,42,common_1detector_epoch,8,8,True,,18.786228261888027,-15.60615785419941
RSAR,E,student,43,common_1detector_epoch,8,8,True,,17.30617368593812,-17.086212430149317
RSAR,E,student,44,common_1detector_epoch,8,8,True,,18.408154137432575,-15.984231978654861
RSAR,F,ema,42,common_1detector_epoch,8,8,True,,32.485346868634224,-1.9070392474532127
RSAR,F,ema,43,common_1detector_epoch,8,8,True,,31.85868924483657,-2.533696871250868
RSAR,F,ema,44,common_1detector_epoch,8,8,True,,32.533981278538704,-1.8584048375487328
RSAR,F,student,42,common_1detector_epoch,8,8,True,,15.282765310257673,-19.109620805829763
RSAR,F,student,43,common_1detector_epoch,8,8,True,,16.530116833746433,-17.862269282341003
RSAR,F,student,44,common_1detector_epoch,8,8,True,,17.36106281168759,-17.031323304399848
RSAR,F_text_only,ema,42,common_1detector_epoch,8,8,True,,32.592104747891426,-1.8002813681960106
RSAR,F_text_only,ema,43,common_1detector_epoch,8,8,True,,31.86963014304638,-2.5227559730410576
RSAR,F_text_only,ema,44,common_1detector_epoch,8,8,True,,31.983444653451443,-2.408941462635994
RSAR,F_veto_only,ema,42,common_1detector_epoch,8,8,True,,35.51174774765968,1.1193616315722466
RSAR,F_veto_only,ema,43,common_1detector_epoch,8,8,True,,34.9590003490448,0.5666142329573631
RSAR,F_veto_only,ema,44,common_1detector_epoch,8,8,True,,35.58581955730915,1.193433441221714
RSAR,IRG,ema,42,common_1detector_epoch,8,8,True,,36.7041552439332,2.311769127845764
RSAR,IRG,ema,43,common_1detector_epoch,8,8,True,,36.65805347263813,2.2656673565506935
RSAR,IRG,ema,44,common_1detector_epoch,6,8,False,noise_suppression;point_target,,
RSAR,IRG,student,42,common_1detector_epoch,8,8,True,,16.38613073155284,-18.006255384534597
RSAR,IRG,student,43,common_1detector_epoch,8,8,True,,17.67356852069497,-16.718817595392466
RSAR,IRG,student,44,common_1detector_epoch,6,8,False,noise_suppression;point_target,,
RSAR,LPLD,ema,42,common_1detector_epoch,8,8,True,,35.27894280850887,0.8865566924214363
RSAR,LPLD,ema,43,common_1detector_epoch,8,8,True,,34.92971872910857,0.5373326130211353
RSAR,LPLD,ema,44,common_1detector_epoch,6,8,False,noise_suppression;point_target,,
RSAR,LPLD,student,42,common_1detector_epoch,8,8,True,,15.434487629681826,-18.95789848640561
RSAR,LPLD,student,43,common_1detector_epoch,8,8,True,,15.87069476954639,-18.521691346541047
RSAR,LPLD,student,44,common_1detector_epoch,6,8,False,noise_suppression;point_target,,
RSAR,LoRA-CGA,ema,42,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,8,8,True,,34.60723031312227,0.21484419703483582
RSAR,LoRA-CGA,ema,43,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,8,8,True,,34.51693784445524,0.12455172836780548
RSAR,LoRA-CGA,ema,44,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,8,8,True,,35.46965215355158,1.0772660374641418
RSAR,LoRA-CGA+VLST,ema,42,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,8,8,True,,35.86545530706644,1.473069190979004
RSAR,LoRA-CGA+VLST,ema,43,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,8,8,True,,35.85219122469425,1.4598051086068153
RSAR,LoRA-CGA+VLST,ema,44,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,8,8,True,,36.29461694508791,1.902230829000473
RSAR,SFUT,ema,42,common_1detector_epoch,8,8,True,,35.656688921153545,1.2643028050661087
RSAR,SFUT,ema,43,common_1detector_epoch,8,8,True,,35.769252479076385,1.3768663629889488
RSAR,SFUT,ema,44,common_1detector_epoch,7,8,False,noise_suppression,,
RSAR,SFUT,student,42,common_1detector_epoch,8,8,True,,17.67401210963726,-16.718374006450176
RSAR,SFUT,student,43,common_1detector_epoch,8,8,True,,18.101132940500975,-16.291253175586462
RSAR,SFUT,student,44,common_1detector_epoch,7,8,False,noise_suppression,,
RSAR,SFYOLO,ema,42,EXTENDED_2detector_epochs_plus_TAM160k,8,8,True,,31.46381601691246,-2.9285700991749763
RSAR,SFYOLO,ema,43,EXTENDED_2detector_epochs_plus_TAM160k,7,8,False,noise_suppression,,
RSAR,SFYOLO,ema,44,EXTENDED_2detector_epochs_plus_TAM160k,8,8,True,,32.372129522264004,-2.020256593823433
RSAR,SFYOLO,student,42,EXTENDED_2detector_epochs_plus_TAM160k,8,8,True,,12.540914071723819,-21.851472044363618
RSAR,SFYOLO,student,43,EXTENDED_2detector_epochs_plus_TAM160k,7,8,False,noise_suppression,,
RSAR,SFYOLO,student,44,EXTENDED_2detector_epochs_plus_TAM160k,8,8,True,,14.48518205434084,-19.907204061746597
