dataset,method,role,domain,budget_detail,valid_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
RSAR,B,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,22.483670711517334,0.24171922014742872,1.8630623817443848
RSAR,B,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,23.450805246829987,0.21050753035318154,4.376441240310669
RSAR,B,ema,chaff,common_1detector_epoch,3,3,42;43;44,46.493525306383766,0.3116493931063123,-0.6995638211568197
RSAR,B,ema,clean,common_1detector_epoch,3,3,42;43;44,52.44467258453369,0.43453705689492983,-0.6953060626983643
RSAR,B,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,52.051788568496704,0.8012079973481141,-0.7619261741638184
RSAR,B,ema,noise_suppression,common_1detector_epoch,3,3,42;43;44,17.610664665699005,0.5839225849045507,1.2699887156486511
RSAR,B,ema,point_target,common_1detector_epoch,3,3,42;43;44,49.905627965927124,0.5245686378257125,-1.6783833503723145
RSAR,B,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,14.78535532951355,0.4157698532920389,0.4127085208892822
RSAR,B,student,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,11.20824490984281,0.9194991962177052,-9.41236341993014
RSAR,B,student,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,11.529842764139175,2.1166981430298724,-7.544521242380142
RSAR,B,student,chaff,common_1detector_epoch,3,3,42;43;44,24.193111062049866,1.5877305117911227,-22.999978065490723
RSAR,B,student,clean,common_1detector_epoch,3,3,42;43;44,28.337706128756206,1.71970085018207,-24.80227251847585
RSAR,B,student,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,27.815342942873638,1.672841903658101,-24.998371799786884
RSAR,B,student,noise_suppression,common_1detector_epoch,3,3,42;43;44,13.888689130544662,1.8075009759191925,-2.4519868195056915
RSAR,B,student,point_target,common_1detector_epoch,3,3,42;43;44,27.330492933591206,0.44298999831178115,-24.253518382708233
RSAR,B,student,smart_suppression,common_1detector_epoch,3,3,42;43;44,12.73532584309578,2.059405183235013,-1.6373209655284882
