dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,chaff,F_veto_only,44,ema,tank,0.126,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,44,ema,bridge,0.345,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_veto_only,44,ema,harbor,0.345,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_44/methods/F_veto_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,A,42,source,ship,0.775,printed class_ap.txt (typically 3 decimals),0.775,0.775,complete,/home/zechuan/iraod_artifacts/comparison/rsar/gaussian_white_noise/seed_42/0f98a48/methods/A/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,A,42,source,aircraft,0.613,printed class_ap.txt (typically 3 decimals),0.613,0.613,complete,/home/zechuan/iraod_artifacts/comparison/rsar/gaussian_white_noise/seed_42/0f98a48/methods/A/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,A,42,source,car,0.783,printed class_ap.txt (typically 3 decimals),0.783,0.783,complete,/home/zechuan/iraod_artifacts/comparison/rsar/gaussian_white_noise/seed_42/0f98a48/methods/A/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,A,42,source,tank,0.174,printed class_ap.txt (typically 3 decimals),0.174,0.174,complete,/home/zechuan/iraod_artifacts/comparison/rsar/gaussian_white_noise/seed_42/0f98a48/methods/A/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,A,42,source,bridge,0.399,printed class_ap.txt (typically 3 decimals),0.399,0.399,complete,/home/zechuan/iraod_artifacts/comparison/rsar/gaussian_white_noise/seed_42/0f98a48/methods/A/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,A,42,source,harbor,0.426,printed class_ap.txt (typically 3 decimals),0.426,0.426,complete,/home/zechuan/iraod_artifacts/comparison/rsar/gaussian_white_noise/seed_42/0f98a48/methods/A/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,F_text_only,42,ema,ship,0.765,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/gaussian_white_noise/seed_42/methods/F_text_only/ddp2/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,F_text_only,42,ema,aircraft,0.637,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/gaussian_white_noise/seed_42/methods/F_text_only/ddp2/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,F_text_only,42,ema,car,0.753,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/gaussian_white_noise/seed_42/methods/F_text_only/ddp2/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,F_text_only,42,ema,tank,0.153,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/gaussian_white_noise/seed_42/methods/F_text_only/ddp2/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,F_text_only,42,ema,bridge,0.385,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/gaussian_white_noise/seed_42/methods/F_text_only/ddp2/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,F_text_only,42,ema,harbor,0.4,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/gaussian_white_noise/seed_42/methods/F_text_only/ddp2/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
RSAR,gaussian_white_noise,F_text_only,43,ema,ship,0.761,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/gaussian_white_noise/seed_43/methods/F_text_only/ddp2/eval_full_gaussian_white_noise_ids_v1/class_ap.txt
