dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,D,43,ema,ship,0.765,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,43,ema,aircraft,0.693,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,43,ema,car,0.759,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,43,ema,tank,0.115,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,43,ema,bridge,0.353,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,43,ema,harbor,0.374,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,44,ema,ship,0.769,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,44,ema,aircraft,0.646,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,44,ema,car,0.768,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,44,ema,tank,0.129,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,44,ema,bridge,0.362,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,D,44,ema,harbor,0.394,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,42,ema,ship,0.758,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,42,ema,aircraft,0.728,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,42,ema,car,0.768,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,42,ema,tank,0.142,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,42,ema,bridge,0.368,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,42,ema,harbor,0.409,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,43,ema,ship,0.757,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,43,ema,aircraft,0.722,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,43,ema,car,0.764,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,43,ema,tank,0.139,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,43,ema,bridge,0.368,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,43,ema,harbor,0.405,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,44,ema,ship,0.758,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,44,ema,aircraft,0.7,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,44,ema,car,0.771,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,44,ema,tank,0.137,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,44,ema,bridge,0.379,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,E,44,ema,harbor,0.414,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,42,ema,ship,0.762,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,42,ema,aircraft,0.642,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,42,ema,car,0.749,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F,42,ema,tank,0.162,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/F/ddp2/eval_full_clean_ids_v1/class_ap.txt
