dataset,domain,method,seed,role,status,source_clean_TEST,source_corruption_mAP50,source_degradation,delta_A,recovery_ratio,interpretation
RSAR,am_noise_vertical,F,44,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,-0.017247676849365234,-0.05063075195112455,descriptive_only_unstable_near_zero_gap
DIOR,brightness,A,42,source,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.0,0.0,descriptive_only_unstable_near_zero_gap
DIOR,brightness,B,42,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.002971366047859192,0.05583631688919429,descriptive_only_unstable_near_zero_gap
DIOR,brightness,B,43,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.003756806254386902,0.07059588792918542,descriptive_only_unstable_near_zero_gap
DIOR,brightness,B,44,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.004801154136657715,0.09022071313005392,descriptive_only_unstable_near_zero_gap
DIOR,brightness,C,42,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.0057020485401153564,0.10714983750751139,descriptive_only_unstable_near_zero_gap
DIOR,brightness,C,43,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.0056611597537994385,0.10638147736837772,descriptive_only_unstable_near_zero_gap
DIOR,brightness,C,44,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.005832761526107788,0.10960612582401305,descriptive_only_unstable_near_zero_gap
DIOR,brightness,D,42,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,-0.0017880946397781372,-0.03360091531181589,descriptive_only_unstable_near_zero_gap
DIOR,brightness,D,43,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,-0.0015239417552947998,-0.028637096001895138,descriptive_only_unstable_near_zero_gap
DIOR,brightness,D,44,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,-0.0020875632762908936,-0.03922836929001171,descriptive_only_unstable_near_zero_gap
DIOR,brightness,E,42,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.0031017959117889404,0.058287284927764624,descriptive_only_unstable_near_zero_gap
DIOR,brightness,E,43,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.004901796579360962,0.09211193192732388,descriptive_only_unstable_near_zero_gap
DIOR,brightness,E,44,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.0035382509231567383,0.06648891338083501,descriptive_only_unstable_near_zero_gap
DIOR,brightness,F,42,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.0002102106809616089,0.003950166356690474,descriptive_only_unstable_near_zero_gap
DIOR,brightness,F,43,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,-0.002773761749267578,-0.0521230429077615,descriptive_only_unstable_near_zero_gap
DIOR,brightness,F,44,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,-0.002257987856864929,-0.04243089659003786,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,A,42,source,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0,0.0,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,B,42,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.006905943155288696,1.4910559166076829,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,B,43,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0050165653228759766,1.083122064217232,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,B,44,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.006771951913833618,1.4621259893185767,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,C,42,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.003982067108154297,0.8597644939193102,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,C,43,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.004060804843902588,0.8767646869570813,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,C,44,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0039553046226501465,0.8539862299723312,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,D,42,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,-0.003565967082977295,-0.7699247152692877,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,D,43,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,-0.00448647141456604,-0.9686699697574158,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,D,44,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,-0.0038666129112243652,-0.8348368830834567,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,E,42,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.007302641868591309,1.576706775625764,descriptive_only_unstable_near_zero_gap
DIOR,cloudy,E,43,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.006842702627182007,1.47740171160157,descriptive_only_unstable_near_zero_gap
