dataset,domain,method,role,comparison_group,n_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
RSAR,am_noise_horizontal,B,ema,common_1epoch,3,3,42;43;44,22.483670711517334,0.24171922014742872,1.8630623817443848
RSAR,am_noise_horizontal,B,student,common_1epoch,3,3,42;43;44,11.20824490984281,0.9194991962177052,-9.41236341993014
RSAR,am_noise_horizontal,B_REG,ema,common_1epoch,0,3,,,,
RSAR,am_noise_horizontal,C,ema,common_1epoch,3,3,42;43;44,21.612394352753956,1.1364114436974055,0.9917860229810079
RSAR,am_noise_horizontal,C,student,common_1epoch,3,3,42;43;44,12.251683821280798,2.314460914527119,-8.368924508492151
RSAR,am_noise_horizontal,D,ema,common_1epoch,3,3,42;43;44,17.19217797120412,1.7426945311626578,-3.428430358568827
RSAR,am_noise_horizontal,D,student,common_1epoch,3,3,42;43;44,6.208637108405431,2.5580440162093603,-14.411971221367518
RSAR,am_noise_horizontal,E,ema,common_1epoch,3,3,42;43;44,23.286994298299152,0.2331284702067822,2.6663859685262046
RSAR,am_noise_horizontal,E,student,common_1epoch,3,3,42;43;44,11.746873458226522,1.5637531336892596,-8.873734871546427
RSAR,am_noise_horizontal,F,ema,common_1epoch,3,3,42;43;44,15.044608215490976,1.3075408020417374,-5.576000114281972
RSAR,am_noise_horizontal,F,student,common_1epoch,3,3,42;43;44,5.151744931936264,0.4596100542753574,-15.468863397836685
RSAR,am_noise_horizontal,F_text_only,ema,common_1epoch,1,3,42,15.229600667953491,,-5.391007661819458
RSAR,am_noise_horizontal,F_veto_only,ema,common_1epoch,2,3,42;44,24.329233169555664,0.534150191945241,3.708624839782715
RSAR,am_noise_horizontal,IRG,ema,common_1epoch,3,3,42;43;44,22.062731782595318,0.3605901755935192,1.4421234528223674
RSAR,am_noise_horizontal,IRG,student,common_1epoch,3,3,42;43;44,6.78157073756059,1.0078592497040375,-13.839037592212359
RSAR,am_noise_horizontal,LPLD,ema,common_1epoch,3,3,42;43;44,19.508756697177887,0.5348885297019673,-1.1118516325950623
RSAR,am_noise_horizontal,LPLD,student,common_1epoch,3,3,42;43;44,5.405246838927269,1.9213628811699301,-15.21536149084568
RSAR,am_noise_horizontal,LoRA-CGA,ema,supervised_lora_oracle,0,3,,,,
RSAR,am_noise_horizontal,LoRA-CGA+VLST,ema,supervised_lora_oracle,0,3,,,,
RSAR,am_noise_horizontal,SFUT,ema,common_1epoch,3,3,42;43;44,22.068267067273457,0.19772278408214758,1.4476587375005086
RSAR,am_noise_horizontal,SFUT,student,common_1epoch,3,3,42;43;44,7.540367543697357,0.7436426763051349,-13.080240786075592
RSAR,am_noise_horizontal,SFYOLO,ema,extended_2epoch,0,3,,,,
RSAR,am_noise_horizontal,SFYOLO,student,extended_2epoch,0,3,,,,
RSAR,am_noise_vertical,A,source,common_1epoch,1,1,42,19.074364006519318,,0.0
RSAR,am_noise_vertical,AASFOD,ema,common_1epoch,0,3,,,,
