dataset,domain,method,seed,role,status,source_clean_TEST,source_corruption_mAP50,source_degradation,delta_A,recovery_ratio,interpretation,comparison_group
RSAR,am_noise_vertical,IRG,43,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.04838138818740845,0.1420241163932693,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_vertical,IRG,44,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.05766874551773071,0.16928725967800162,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_vertical,LPLD,42,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.033619195222854614,0.09868953071134494,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_vertical,LPLD,43,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.02748948335647583,0.08069569167151443,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_vertical,LPLD,44,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,-0.016078531742095947,-0.0471987131647995,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_vertical,SFUT,42,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.03161314129829407,0.09280073655419194,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_vertical,SFUT,43,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.03335338830947876,0.09790925148791305,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_vertical,SFUT,44,ema,complete,0.5313997864723206,0.19074364006519318,0.3406561464071274,0.043109893798828125,0.12654958454002566,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,brightness,A,42,source,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.0,0.0,descriptive_only_unstable_near_zero_gap,fixed_source
DIOR,brightness,IRG,42,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.002838417887687683,0.053338026378498014,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,brightness,IRG,43,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.0015070140361785889,0.028318999384527848,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,brightness,IRG,44,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.003276735544204712,0.06157465666006392,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,brightness,LPLD,42,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.005803018808364868,0.10904721662659657,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,brightness,LPLD,43,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.006576895713806152,0.12358949631528751,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,brightness,LPLD,44,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.006048351526260376,0.11365737746139859,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,brightness,SFUT,42,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.00012962520122528076,0.00243584724866027,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,brightness,SFUT,43,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.0002631843090057373,0.0049456183591030795,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,brightness,SFUT,44,ema,complete,0.2948998510837555,0.2416841983795166,0.05321565270423889,0.0005815327167510986,0.010927850870929498,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,cloudy,A,42,source,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0,0.0,descriptive_only_unstable_near_zero_gap,fixed_source
DIOR,cloudy,IRG,42,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0031908154487609863,0.688926066533685,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,cloudy,IRG,43,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0011725127696990967,0.25315616755678527,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,cloudy,IRG,44,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0047317445278167725,1.0216266649507755,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,cloudy,LPLD,42,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0010927915573120117,0.2359436329708513,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,cloudy,LPLD,43,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.005615442991256714,1.2124251978637153,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,cloudy,LPLD,44,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0021309852600097656,0.460099092722476,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,cloudy,SFUT,42,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0036904513835906982,0.7968020075928189,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,cloudy,SFUT,43,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0037331581115722656,0.8060227784569848,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,cloudy,SFUT,44,ema,complete,0.2948998510837555,0.29026827216148376,0.0046315789222717285,0.0033996105194091797,0.7340068206679107,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,contrast,A,42,source,complete,0.2948998510837555,0.2816031277179718,0.013296723365783691,0.0,0.0,descriptive_only_unstable_near_zero_gap,fixed_source
DIOR,contrast,IRG,42,ema,complete,0.2948998510837555,0.2816031277179718,0.013296723365783691,0.0021844804286956787,0.16428712312064622,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,contrast,IRG,43,ema,complete,0.2948998510837555,0.2816031277179718,0.013296723365783691,0.0022074878215789795,0.16601742856886706,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,contrast,IRG,44,ema,complete,0.2948998510837555,0.2816031277179718,0.013296723365783691,0.0035304129123687744,0.265509991841565,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,contrast,LPLD,42,ema,complete,0.2948998510837555,0.2816031277179718,0.013296723365783691,0.0021645724773406982,0.16278991581570904,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,contrast,LPLD,43,ema,complete,0.2948998510837555,0.2816031277179718,0.013296723365783691,0.004845172166824341,0.3643884311598426,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,contrast,LPLD,44,ema,complete,0.2948998510837555,0.2816031277179718,0.013296723365783691,0.004267007112503052,0.3209066621242413,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,contrast,SFUT,42,ema,complete,0.2948998510837555,0.2816031277179718,0.013296723365783691,0.0010947883129119873,0.08233519513004187,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,contrast,SFUT,43,ema,complete,0.2948998510837555,0.2816031277179718,0.013296723365783691,0.0012488961219787598,0.09392510377350033,descriptive_only_unstable_near_zero_gap,common_one_epoch
DIOR,contrast,SFUT,44,ema,complete,0.2948998510837555,0.2816031277179718,0.013296723365783691,0.0012059807777404785,0.09069759102034229,descriptive_only_unstable_near_zero_gap,common_one_epoch
