dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,LPLD,44,ema,bridge,0.371,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,44,ema,harbor,0.397,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,42,ema,ship,0.774,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,42,ema,aircraft,0.695,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,42,ema,car,0.783,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,42,ema,tank,0.172,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,42,ema,bridge,0.399,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,42,ema,harbor,0.442,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,43,ema,ship,0.774,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,43,ema,aircraft,0.707,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,43,ema,car,0.784,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,43,ema,tank,0.177,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,43,ema,bridge,0.406,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,43,ema,harbor,0.441,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,44,ema,ship,0.774,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,44,ema,aircraft,0.707,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,SFUT,44,ema,car,0.784,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/SFUT/eval_full_clean_ids_v1/class_ap.txt
